time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
7680,30,944,8,344.44736842105266,200.0,0.00041720667,-2.2135350346565246,0.0003,0.0,0.3,-0.001605507917702198,24086.51435546875,0.20971882343292236,13252.8447265625,1890
7936,31,947,8,346.46153846153845,200.0,0.0009692337,-2.284157371520996,0.0003,0.0,0.3,-0.0026417754124850035,15091.340771484374,0.24200057983398438,4985.1123046875,1900
8192,32,947,8,345.475,200.0,8.151191e-05,-2.2511871218681336,0.0003,0.0,0.3,-0.00028265261789783835,10030.150172424317,0.17722433805465698,2331.943603515625,1910
8448,33,946,8,348.57142857142856,200.0,0.00027851854,-2.2131960868835447,0.0003,0.0,0.3,-0.0012447642628103494,6667.0969535827635,0.14757800102233887,4162.7451171875,1920
8704,34,947,9,350.51162790697674,200.0,0.000653737,-2.1389267683029174,0.0003,0.0,0.3,-0.0033423595130443575,27756.0427734375,0.0766838788986206,17754.916015625,1930
8960,35,948,9,349.59090909090907,200.0,0.0065549854,-2.24255884885788,0.0003,0.000390625,0.3,-0.007302503939718008,14289.555319213867,0.28603672981262207,2547.240478515625,1940
9216,36,949,9,354.9347826086956,200.0,0.0049896706,-2.1979682564735414,0.0003,0.00078125,0.3,-0.00032326390501111744,9397.681650543213,0.22749942541122437,5200.00732421875,1950
9472,37,950,9,351.8510638297872,200.0,0.0016217642,-2.265781819820404,0.0003,0.0,0.3,-0.002754695317707956,16737.98679199219,0.21073883771896362,6287.22705078125,1960
9728,38,951,10,350.6041666666667,200.0,0.0020656914,-2.1144412994384765,0.0003,0.0,0.3,-0.0025000760797411203,11896.946704101563,0.24010491371154785,4119.7841796875,1970
9984,39,952,10,352.1224489795918,200.0,0.0063563883,-2.0571651339530943,0.0003,0.0,0.3,-0.004298017267137766,12818.024865722657,0.24874770641326904,926.8338623046875,1980
10240,40,951,10,349.72549019607845,200.0,0.0035396058,-2.083255171775818,0.0003,0.0,0.3,-0.003206665860489011,15564.919970703126,0.24963730573654175,6505.79833984375,1990
256,1,1311,0,660.0,200.0,0.0012319987,-2.1602728009223937,0.0003,0.0,0.3,-0.0025399405509233474,17344.036474609376,0.22157853841781616,9092.4501953125,2000
512,2,1131,0,655.0,200.0,7.067667e-05,-2.399292540550232,0.0003,0.0,0.3,-0.0006016254192218184,17233.52109375,0.12053436040878296,10922.4755859375,2010
768,3,1081,0,613.3333333333334,200.0,0.000103444094,-2.378036367893219,0.0003,0.0,0.3,-0.0005573357921093702,36054.29599609375,0.08223497867584229,17411.4296875,2020
1024,4,1060,0,608.0,200.0,6.006076e-05,-2.3692250728607176,0.0003,0.0,0.3,-0.0006455471739172935,13584.242797851562,0.1356661319732666,5964.7529296875,2030
